question_id,option_id,option_label,is_missing
2025-064b_q12_1,1,Extremely important,false
2025-064b_q12_1,2,Very important,false
2025-064b_q12_1,3,Somewhat important,false
2025-064b_q12_1,4,Not too important,false
2025-064b_q12_1,5,Not at all important,false
2025-064b_q12_10,1,Extremely important,false
2025-064b_q12_10,2,Very important,false
2025-064b_q12_10,3,Somewhat important,false
2025-064b_q12_10,4,Not too important,false
2025-064b_q12_10,5,Not at all important,false
2025-064b_q12_2,1,Extremely important,false
2025-064b_q12_2,2,Very important,false
2025-064b_q12_2,3,Somewhat important,false
2025-064b_q12_2,4,Not too important,false
2025-064b_q12_2,5,Not at all important,false
2025-064b_q12_3,1,Extremely important,false
2025-064b_q12_3,2,Very important,false
2025-064b_q12_3,3,Somewhat important,false
2025-064b_q12_3,4,Not too important,false
2025-064b_q12_3,5,Not at all important,false
2025-064b_q12_4,1,Extremely important,false
2025-064b_q12_4,2,Very important,false
2025-064b_q12_4,3,Somewhat important,false
2025-064b_q12_4,4,Not too important,false
2025-064b_q12_4,5,Not at all important,false
2025-064b_q12_5,1,Extremely important,false
2025-064b_q12_5,2,Very important,false
2025-064b_q12_5,3,Somewhat important,false
2025-064b_q12_5,4,Not too important,false
2025-064b_q12_5,5,Not at all important,false
2025-064b_q12_6,1,Extremely important,false
2025-064b_q12_6,2,Very important,false
2025-064b_q12_6,3,Somewhat important,false
2025-064b_q12_6,4,Not too important,false
2025-064b_q12_6,5,Not at all important,false
2025-064b_q12_7,1,Extremely important,false
2025-064b_q12_7,2,Very important,false
2025-064b_q12_7,3,Somewhat important,false
2025-064b_q12_7,4,Not too important,false
2025-064b_q12_7,5,Not at all important,false
2025-064b_q12_8,1,Extremely important,false
2025-064b_q12_8,2,Very important,false
2025-064b_q12_8,3,Somewhat important,false
2025-064b_q12_8,4,Not too important,false
2025-064b_q12_8,5,Not at all important,false
2025-064b_q12_9,1,Extremely important,false
2025-064b_q12_9,2,Very important,false
2025-064b_q12_9,3,Somewhat important,false
2025-064b_q12_9,4,Not too important,false
2025-064b_q12_9,5,Not at all important,false
2025-064b_q14,1,Employed full-time,false
2025-064b_q14,2,Employed part-time,false
2025-064b_q14,3,Self-employed,false
2025-064b_q14,4,Temporarily laid off or furloughed,false
2025-064b_q14,5,Unemployed and looking for work,false
2025-064b_q14,6,Unemployed and not looking for work,false
2025-064b_q14,7,Retired,false
2025-064b_q14,8,Student,false
2025-064b_q17,1,ChatGPT,false
2025-064b_q17,2,Microsoft Copilot,false
2025-064b_q17,3,Google Gemini,false
2025-064b_q17,4,Claude AI,false
2025-064b_q17,5,Grok,false
2025-064b_q17,6,Deepseek,false
2025-064b_q17,7,Perplexity,false
2025-064b_q17,8,Llama by Meta,false
2025-064b_q17,9,None of the above,false
2025-064b_q18_1,0,0: Not likely at all,false
2025-064b_q18_1,1,1,false
2025-064b_q18_1,2,2,false
2025-064b_q18_1,3,3,false
2025-064b_q18_1,4,4,false
2025-064b_q18_1,5,5,false
2025-064b_q18_1,6,6,false
2025-064b_q18_1,7,7,false
2025-064b_q18_1,8,8,false
2025-064b_q18_1,9,9,false
2025-064b_q18_1,10,10: Extremely likely,false
2025-064b_q18_2,0,0: Not likely at all,false
2025-064b_q18_2,1,1,false
2025-064b_q18_2,2,2,false
2025-064b_q18_2,3,3,false
2025-064b_q18_2,4,4,false
2025-064b_q18_2,5,5,false
2025-064b_q18_2,6,6,false
2025-064b_q18_2,7,7,false
2025-064b_q18_2,8,8,false
2025-064b_q18_2,9,9,false
2025-064b_q18_2,10,10: Extremely likely,false
2025-064b_q18_3,0,0: Not likely at all,false
2025-064b_q18_3,1,1,false
2025-064b_q18_3,2,2,false
2025-064b_q18_3,3,3,false
2025-064b_q18_3,4,4,false
2025-064b_q18_3,5,5,false
2025-064b_q18_3,6,6,false
2025-064b_q18_3,7,7,false
2025-064b_q18_3,8,8,false
2025-064b_q18_3,9,9,false
2025-064b_q18_3,10,10: Extremely likely,false
2025-064b_q18_4,0,0: Not likely at all,false
2025-064b_q18_4,1,1,false
2025-064b_q18_4,4,4,false
2025-064b_q18_4,5,5,false
2025-064b_q18_4,6,6,false
2025-064b_q18_4,7,7,false
2025-064b_q18_4,8,8,false
2025-064b_q18_4,9,9,false
2025-064b_q18_4,10,10: Extremely likely,false
2025-064b_q18_5,0,0: Not likely at all,false
2025-064b_q18_5,2,2,false
2025-064b_q18_5,3,3,false
2025-064b_q18_5,4,4,false
2025-064b_q18_5,5,5,false
2025-064b_q18_5,6,6,false
2025-064b_q18_5,7,7,false
2025-064b_q18_5,8,8,false
2025-064b_q18_5,9,9,false
2025-064b_q18_5,10,10: Extremely likely,false
2025-064b_q18_6,0,0: Not likely at all,false
2025-064b_q18_6,2,2,false
2025-064b_q18_6,4,4,false
2025-064b_q18_6,6,6,false
2025-064b_q18_6,7,7,false
2025-064b_q18_6,8,8,false
2025-064b_q18_6,9,9,false
2025-064b_q18_6,10,10: Extremely likely,false
2025-064b_q18_7,2,2,false
2025-064b_q18_7,3,3,false
2025-064b_q18_7,5,5,false
2025-064b_q18_7,6,6,false
2025-064b_q18_7,7,7,false
2025-064b_q18_7,8,8,false
2025-064b_q18_7,9,9,false
2025-064b_q18_7,10,10: Extremely likely,false
2025-064b_q18_8,0,0: Not likely at all,false
2025-064b_q18_8,2,2,false
2025-064b_q18_8,5,5,false
2025-064b_q18_8,6,6,false
2025-064b_q18_8,7,7,false
2025-064b_q18_8,8,8,false
2025-064b_q18_8,9,9,false
2025-064b_q18_8,10,10: Extremely likely,false
2025-064b_q20,1,$0 – none,false
2025-064b_q20,2,Less than $10,false
2025-064b_q20,3,$10 – $29,false
2025-064b_q20,4,$30 – $49,false
2025-064b_q20,5,$50 – $99,false
2025-064b_q20,6,$100 or more,false
2025-064b_q22,1,Always,false
2025-064b_q22,2,Often,false
2025-064b_q22,3,Sometimes,false
2025-064b_q22,4,Rarely,false
2025-064b_q22,5,Never,false
2025-064b_q22,6,I haven’t shared AI‑generated content,false
2025-064b_q23_1,0,,false
2025-064b_q23_1,1,,false
2025-064b_q23_1,2,,false
2025-064b_q23_1,3,,false
2025-064b_q23_1,4,,false
2025-064b_q23_1,6,,false
2025-064b_q23_1,7,,false
2025-064b_q23_1,8,,false
2025-064b_q23_1,9,,false
2025-064b_q23_1,10,,false
2025-064b_q24,1,Education,false
2025-064b_q24,2,Healthcare or social assistance,false
2025-064b_q24,3,Technology or software,false
2025-064b_q24,4,"Finance, insurance, or real estate",false
2025-064b_q24,5,Manufacturing,false
2025-064b_q24,6,Retail or wholesale trade,false
2025-064b_q24,7,Construction,false
2025-064b_q24,8,Transportation or warehousing,false
2025-064b_q24,9,Government or public administration,false
2025-064b_q24,10,"Arts, entertainment, or media",false
2025-064b_q24,11,"Professional or business services (e.g., legal, consulting)",false
2025-064b_q24,12,Food service or hospitality,false
2025-064b_q24,13,Other (please specify):,false
2025-064b_q25,1,White collar job (work performed in an office or home environment),false
2025-064b_q25,2,Blue collar job (manual labor or skilled trades),false
2025-064b_q26,1,Yes,false
2025-064b_q26,2,No,false
2025-064b_q27,1,"Yes, AI replaced my role",false
2025-064b_q27,2,"Yes, AI reduced the need for my role",false
2025-064b_q27,3,"No, AI had nothing to do with it",false
2025-064b_q27,4,Don’t know/not sure,false
2025-064b_q28,1,"Executive (e.g., CEO, president, director)",false
2025-064b_q28,2,"Managerial (e.g., team lead, department head)",false
2025-064b_q28,3,"Professional or technical (e.g., engineer, analyst, nurse)",false
2025-064b_q28,4,Junior or entry-level staff,false
2025-064b_q28,5,"Service or manual labor (e.g., retail, food service, custodial)",false
2025-064b_q28,6,Other (please specify):,false
2025-064b_q29,1,ChatGPT or other conversational AIs,false
2025-064b_q29,2,"Midjourney, DALL·E, or other image generation tools",false
2025-064b_q29,3,GitHub Copilot or other AI coding assistants,false
2025-064b_q29,4,Grammarly or other writing tools with AI integration,false
2025-064b_q29,5,"AI-powered video editing or content tools (e.g. Runway, Descript)",false
2025-064b_q29,6,"AI features in Google Docs, Microsoft 365, Notion, etc.",false
2025-064b_q29,7,Other (please specify):,false
2025-064b_q29,8,None of the above,false
2025-064b_q30,1,Several times a day,false
2025-064b_q30,2,About once a day,false
2025-064b_q30,3,A few times a week,false
2025-064b_q30,4,Less than once a week,false
2025-064b_q30,5,Less than once a month,false
2025-064b_q30,6,Never,false
2025-064b_q31,1,All,false
2025-064b_q31,2,Most,false
2025-064b_q31,3,Some,false
2025-064b_q31,4,Not much,false
2025-064b_q31,5,None,false
2025-064b_q32,1,"Writing or editing content (e.g., emails, reports, documentation)",false
2025-064b_q32,2,Learning new skills or training on the job,false
2025-064b_q32,3,"Managing tasks, schedules, or workflows",false
2025-064b_q32,4,Other (please specify):,false
2025-064b_q32,5,I don’t use AI at work,false
2025-064b_q32,6,Brainstorming ideas or generating creative content,false
2025-064b_q32,7,Analyzing data or summarizing large amounts of information,false
2025-064b_q32,8,Coding or assisting with software development,false
2025-064b_q32,9,Conducting research or gathering background information,false
2025-064b_q32,10,Creating presentations or visual materials,false
2025-064b_q32,11,Automating routine or repetitive tasks,false
2025-064b_q32,12,Improving customer support or communication,false
2025-064b_q32,13,Assisting with decision-making or strategy,false
2025-064b_q33,1,Yes,false
2025-064b_q33,2,No,false
2025-064b_q34,1,Yes,false
2025-064b_q34,2,No,false
2025-064b_q34,3,Not sure,false
2025-064b_q36,1,Very confident,false
2025-064b_q36,2,Somewhat confident,false
2025-064b_q36,3,Not very confident,false
2025-064b_q36,4,Not at all confident,false
2025-064b_q36,5,Not sure,false
2025-064b_q37,1,Strongly favor,false
2025-064b_q37,2,Somewhat favor,false
2025-064b_q37,3,Neither favor nor oppose,false
2025-064b_q37,4,Somewhat oppose,false
2025-064b_q37,5,Strongly oppose,false
2025-064b_q37,6,Not sure,false
2025-064b_q38,1,Strongly favor,false
2025-064b_q38,2,Somewhat favor,false
2025-064b_q38,3,Somewhat oppose,false
2025-064b_q38,4,Strongly oppose,false
2025-064b_q38,5,Not sure,false
2025-064b_q39,1,Strongly favor,false
2025-064b_q39,2,Somewhat favor,false
2025-064b_q39,3,Somewhat oppose,false
2025-064b_q39,4,Strongly oppose,false
2025-064b_q39,5,Not sure,false
2025-064b_q40,1,Very confident,false
2025-064b_q40,2,Somewhat confident,false
2025-064b_q40,3,Not very confident,false
2025-064b_q40,4,Not at all confident,false
2025-064b_q40,5,Not sure,false
2025-064b_q6_ado,1,q6_ado_1,false
2025-064b_q6_ado,5,q6_ado_5,false
2025-064b_q7,1,Every or almost every search,false
2025-064b_q7,2,About half of my searches,false
2025-064b_q7,3,A few searches,false
2025-064b_q7,4,Not in the past week,false
2025-064b_q7_1,1,Always,false
2025-064b_q7_1,2,Often,false
2025-064b_q7_1,3,Sometimes,false
2025-064b_q7_1,4,Rarely,false
2025-064b_q7_1,5,Never,false
2025-064b_q7_2,1,Always,false
2025-064b_q7_2,2,Often,false
2025-064b_q7_2,3,Sometimes,false
2025-064b_q7_2,4,Rarely,false
2025-064b_q7_2,5,Never,false
2025-064b_q8,1,Concerned about impacts of decreased traffic,false
2025-064b_q8,2,Not concerned about impacts of decreased traffic,false
2025-064b_q8,3,Have not thought much about it,false
2025-064b_q9,1,Keep them on for all searches,false
2025-064b_q9,2,Turn them off for some searches,false
2025-064b_q9,3,Turn them off for all searches,false
2025-064b_q9,4,Not sure,false
2025-064c_q1,1,"Conducted a search on a search engine (e.g., Google, Bing)",false
2025-064c_q1,2,"Asked a question to an AI chatbot (e.g., ChatGPT, Microsoft Copilot, Google Gemini)",false
2025-064c_q1,3,Traded cryptocurrency,false
2025-064c_q1,4,Rode in a self-driving car,false
2025-064c_q1,5,Used a virtual reality headset,false
2025-064c_q1,6,Watched television,false
2025-064c_q1,7,Read a newspaper,false
2025-064c_q1,8,None of the above,false
2025-064c_q10,1,ChatGPT,false
2025-064c_q10,2,Microsoft Copilot,false
2025-064c_q10,3,Google Gemini,false
2025-064c_q10,4,Claude AI,false
2025-064c_q10,5,Grok,false
2025-064c_q10,6,Deepseek,false
2025-064c_q10,7,Perplexity,false
2025-064c_q10,8,Llama by Meta,false
2025-064c_q10,9,None of the above,false
2025-064c_q11,1,Personal organization,false
2025-064c_q11,2,Managing your calendar and scheduling,false
2025-064c_q11,3,"Entertainment (e.g., storytelling, games, music)",false
2025-064c_q11,4,"Writing or editing personal messages, emails, or social media posts",false
2025-064c_q11,5,"Getting recommendations (e.g., movies, restaurants, gifts)",false
2025-064c_q11,6,Planning a trip,false
2025-064c_q11,7,Getting advice on health and fitness,false
2025-064c_q11,8,Other (please specify):,false
2025-064c_q11,9,I do not use AI for my personal life,false
2025-064c_q12,1,Yes (please describe):,false
2025-064c_q12,2,No,false
2025-064c_q2_1,1,"Yes, use this",false
2025-064c_q2_1,2,"No, don’t use this",false
2025-064c_q2_10,1,"Yes, use this",false
2025-064c_q2_10,2,"No, don’t use this",false
2025-064c_q2_11,1,"Yes, use this",false
2025-064c_q2_11,2,"No, don’t use this",false
2025-064c_q2_2,1,"Yes, use this",false
2025-064c_q2_2,2,"No, don’t use this",false
2025-064c_q2_3,1,"Yes, use this",false
2025-064c_q2_3,2,"No, don’t use this",false
2025-064c_q2_4,1,"Yes, use this",false
2025-064c_q2_4,2,"No, don’t use this",false
2025-064c_q2_5,1,"Yes, use this",false
2025-064c_q2_5,2,"No, don’t use this",false
2025-064c_q2_6,1,"Yes, use this",false
2025-064c_q2_6,2,"No, don’t use this",false
2025-064c_q2_7,1,"Yes, use this",false
2025-064c_q2_7,2,"No, don’t use this",false
2025-064c_q2_8,1,"Yes, use this",false
2025-064c_q2_8,2,"No, don’t use this",false
2025-064c_q2_9,1,"Yes, use this",false
2025-064c_q2_9,2,"No, don’t use this",false
2025-064c_q3,1,Yes,false
2025-064c_q3,2,No,false
2025-064c_q4,1,Several times a day,false
2025-064c_q4,2,About once a day,false
2025-064c_q4,3,A few times a week,false
2025-064c_q4,4,Less than once a week,false
2025-064c_q4,5,Less than once a month,false
2025-064c_q4,6,Never,false
2025-064c_q5,1,I don’t need it,false
2025-064c_q5,2,I don’t know how to use it,false
2025-064c_q5,3,I don’t trust it,false
2025-064c_q5,4,It’s too expensive,false
2025-064c_q5,5,I’m concerned about privacy,false
2025-064c_q5,6,I’m concerned about impacts to the environment,false
2025-064c_q5,7,I’m concerned about impacts to society,false
2025-064c_q5,8,Other (please specify):,false
2025-064c_q6_1,1,Strongly agree,false
2025-064c_q6_1,2,Somewhat agree,false
2025-064c_q6_1,3,Neutral,false
2025-064c_q6_1,4,Somewhat disagree,false
2025-064c_q6_1,5,Strongly disagree,false
2025-064c_q6_2,1,Strongly agree,false
2025-064c_q6_2,2,Somewhat agree,false
2025-064c_q6_2,3,Neutral,false
2025-064c_q6_2,4,Somewhat disagree,false
2025-064c_q6_2,5,Strongly disagree,false
2025-064c_q6_3,1,Strongly agree,false
2025-064c_q6_3,2,Somewhat agree,false
2025-064c_q6_3,3,Neutral,false
2025-064c_q6_3,4,Somewhat disagree,false
2025-064c_q6_3,5,Strongly disagree,false
2025-064c_q6_4,1,Strongly agree,false
2025-064c_q6_4,2,Somewhat agree,false
2025-064c_q6_4,3,Neutral,false
2025-064c_q6_4,4,Somewhat disagree,false
2025-064c_q6_4,5,Strongly disagree,false
2025-064c_q6_5,1,Strongly agree,false
2025-064c_q6_5,2,Somewhat agree,false
2025-064c_q6_5,3,Neutral,false
2025-064c_q6_5,4,Somewhat disagree,false
2025-064c_q6_5,5,Strongly disagree,false
2025-064c_q6_6,1,Strongly agree,false
2025-064c_q6_6,2,Somewhat agree,false
2025-064c_q6_6,3,Neutral,false
2025-064c_q6_6,4,Somewhat disagree,false
2025-064c_q6_6,5,Strongly disagree,false
2025-064c_q7_1,1,Extremely concerned,false
2025-064c_q7_1,2,Very concerned,false
2025-064c_q7_1,3,Somewhat concerned,false
2025-064c_q7_1,4,Not at all concerned,false
2025-064c_q7_1,5,I’m unfamiliar with this topic,false
2025-064c_q7_10,1,Extremely concerned,false
2025-064c_q7_10,2,Very concerned,false
2025-064c_q7_10,3,Somewhat concerned,false
2025-064c_q7_10,4,Not at all concerned,false
2025-064c_q7_10,5,I’m unfamiliar with this topic,false
2025-064c_q7_11,1,Extremely concerned,false
2025-064c_q7_11,2,Very concerned,false
2025-064c_q7_11,3,Somewhat concerned,false
2025-064c_q7_11,4,Not at all concerned,false
2025-064c_q7_11,5,I’m unfamiliar with this topic,false
2025-064c_q7_12,1,Extremely concerned,false
2025-064c_q7_12,2,Very concerned,false
2025-064c_q7_12,3,Somewhat concerned,false
2025-064c_q7_12,4,Not at all concerned,false
2025-064c_q7_12,5,I’m unfamiliar with this topic,false
2025-064c_q7_13,1,Extremely concerned,false
2025-064c_q7_13,2,Very concerned,false
2025-064c_q7_13,3,Somewhat concerned,false
2025-064c_q7_13,4,Not at all concerned,false
2025-064c_q7_13,5,I’m unfamiliar with this topic,false
2025-064c_q7_2,1,Extremely concerned,false
2025-064c_q7_2,2,Very concerned,false
2025-064c_q7_2,3,Somewhat concerned,false
2025-064c_q7_2,4,Not at all concerned,false
2025-064c_q7_2,5,I’m unfamiliar with this topic,false
2025-064c_q7_3,1,Extremely concerned,false
2025-064c_q7_3,2,Very concerned,false
2025-064c_q7_3,3,Somewhat concerned,false
2025-064c_q7_3,4,Not at all concerned,false
2025-064c_q7_3,5,I’m unfamiliar with this topic,false
2025-064c_q7_4,1,Extremely concerned,false
2025-064c_q7_4,2,Very concerned,false
2025-064c_q7_4,3,Somewhat concerned,false
2025-064c_q7_4,4,Not at all concerned,false
2025-064c_q7_4,5,I’m unfamiliar with this topic,false
2025-064c_q7_5,1,Extremely concerned,false
2025-064c_q7_5,2,Very concerned,false
2025-064c_q7_5,3,Somewhat concerned,false
2025-064c_q7_5,4,Not at all concerned,false
2025-064c_q7_5,5,I’m unfamiliar with this topic,false
2025-064c_q7_6,1,Extremely concerned,false
2025-064c_q7_6,2,Very concerned,false
2025-064c_q7_6,3,Somewhat concerned,false
2025-064c_q7_6,4,Not at all concerned,false
2025-064c_q7_6,5,I’m unfamiliar with this topic,false
2025-064c_q7_7,1,Extremely concerned,false
2025-064c_q7_7,2,Very concerned,false
2025-064c_q7_7,3,Somewhat concerned,false
2025-064c_q7_7,4,Not at all concerned,false
2025-064c_q7_7,5,I’m unfamiliar with this topic,false
2025-064c_q7_8,1,Extremely concerned,false
2025-064c_q7_8,2,Very concerned,false
2025-064c_q7_8,3,Somewhat concerned,false
2025-064c_q7_8,4,Not at all concerned,false
2025-064c_q7_8,5,I’m unfamiliar with this topic,false
2025-064c_q7_9,1,Extremely concerned,false
2025-064c_q7_9,2,Very concerned,false
2025-064c_q7_9,3,Somewhat concerned,false
2025-064c_q7_9,4,Not at all concerned,false
2025-064c_q7_9,5,I’m unfamiliar with this topic,false
2025-064c_q8,1,More job opportunities,false
2025-064c_q8,2,Fewer job opportunities,false
2025-064c_q8,3,Will not make much difference,false
2025-064c_q9,1,ChatGPT,false
2025-064c_q9,2,Microsoft Copilot,false
2025-064c_q9,3,Google Gemini,false
2025-064c_q9,4,Claude AI,false
2025-064c_q9,5,Grok,false
2025-064c_q9,6,Deepseek,false
2025-064c_q9,7,Perplexity,false
2025-064c_q9,8,Llama by Meta,false
2025-064c_q9,9,None of the above,false
